V1,V2
P06927,Q9NXH8
P06927,Q9HDC9
P06927,Q4ZIN3
P06927,P48047
P06927,P18859
P06927,P98194
P06927,P23634
P06927,P16615
P06927,P05023
P06927,Q9H7F0
P06927,Q9HD20
P06927,Q9NVI7
P06927,P04114
P06927,Q9UKV5
P06927,Q8N2K0
P06927,O15439
P06927,P33527
P03246,Q99523
P03246,Q15599
P03246,P11166
P03246,P60468
P03246,O75396
P03246,P31040
P03246,Q14108
P03246,Q969E2
P03246,Q9NTJ5
P03246,P06703
P03246,Q9NQC3
P03246,Q14699
P03246,Q9HBH5
P03246,P51148
P03246,Q9BZG1
P03246,Q9NP72
P03246,P53801
P03246,Q13308
P03246,Q9HCU5
P03246,O60831
P03246,O75688
P03246,O15173
P03246,O00264
P03246,P50479
P03246,P09619
P03246,Q96AQ6
P03246,Q9Y639
P03246,O00483
P03246,Q6PIU2
P03246,Q9BRK3
P03246,Q13724
P03246,Q14165
P03246,Q96N66
P03246,P29966
P03246,Q6IAA8
P03246,P05556
P03246,P26006
P03246,Q16891
P03246,Q70UQ0
P03246,P11717
P03246,Q8TED1
P03246,P59768
P03246,P62873
P03246,Q9H4G4
P03246,P48060
P03246,P17302
P03246,P25445
P03246,A0FGR8
P03246,Q969X5
P03246,P17813
P03246,P50402
P03246,A4FU69
P03246,Q96KC8
P03246,O00273
P03246,P39656
P03246,Q16527
P03246,Q1MSJ5
P03246,Q6UVK1
P03246,P09543
P03246,Q9H5V8
P03246,P16070
P03246,Q9BWT7
P03246,P35613
P03246,Q07812
P03246,Q16611
P03246,P16615
P03246,P05023
P03246,Q8IZ07
P03246,Q8N2K0
P03246,P80404
P04494,Q9Y5S1
P04494,P02751
P04494,P16615
P06927,Q9H2V7
P06927,Q9NZM1
P06927,P50281
P06927,Q7Z434
P06927,P00403
P06927,P00846
P06927,O15427
P06927,Q9UP95
P06927,Q9UP95
P06927,Q13563
P06927,Q92643
P06927,Q9Y6C9
P06927,Q01628
P06927,O94919
P06927,Q9GZP9
P06927,Q6DD88
P06927,Q9BSR8
P06927,Q9GZM5
P06927,Q9BQB6
P06927,Q8NBM4
P06927,Q9HBA0
P06927,Q9Y5S1
P06927,O75762
P06927,Q15629
P06927,Q96JJ7
P06927,P42166
P06927,Q96BY9
P06927,Q9BTV4
P06927,P57088
P06927,Q6NUQ4
P06927,Q9NVA4
P06927,Q9BSA9
P06927,Q9HC07
P06927,Q9BVC6
P06927,Q9HD45
P06927,O15321
P06927,Q9NZ01
P06927,Q9Y4P3
P06927,O15533
P06927,Q03518
P06927,O15260
P06927,Q8TCJ2
P06927,P46977
P06927,P27105
P06927,P51571
P06927,Q9UNL2
P06927,Q9Y5M8
Q6VGS8,P00519
Q6VGS8,Q92900
Q6VGS8,Q9Y6N5
Q6VGS8,Q93062
Q6VGS8,Q15434
Q6VGS8,P29558
Q6VGS8,Q9Y5V3
Q6VGS8,P28300
Q6VGS8,Q71RC2
Q6VGS8,O00425
Q6VGS8,Q9Y6M1
Q6VGS8,Q9NZI8
Q6VGS8,O14558
Q6VGS8,P51659
Q6VGS8,Q96I24
Q6VGS8,C9JLW8
Q6VGS8,Q15717
Q6VGS8,P26196
Q6VGS8,P40227
Q6VGS8,P48643
Q6VGS8,P49368
Q6VGS8,Q99700
P03255,P10827
P56545,P03255
P03255,Q9HAT0
intact:EBI-11735745,Q8N5T2
intact:EBI-11735760,P82932
Q6VGS8,Q9BPX1
Q6VGS8,Q92530
P04494,P56545
P03246,Q13323
P03261,Q969R5
Q6VGT1,P55795
Q6VGT1,P41182
Q6VGT1,Q08117
Q6VGT1,Q96T49
Q6VGT1,Q04864
Q6VGT1,O00560
Q01534,Q6VGT1
Q6VGT1,Q9UJX2
Q6VGT1,Q14CM0
Q6VGT1,P05106
Q6VGT1,Q9UMS0
Q6VGT1,O43927
Q6VGT1,Q8NEV8
Q6VGT1,Q96KQ4
Q6VGT1,Q8WWY3
Q6VGT1,Q9NVL8
Q6VGT1,Q3B820
Q6VGT1,Q8N9N5
Q6VGT1,Q9Y2J4
Q6VGT1,Q8TD31
Q9Y6C2,P03281
Q6VGT1,Q0VD86
Q6VGT1,Q147U7
Q6VGT1,Q8NA61
Q6VGT1,Q8NI38
Q6VGT1,Q8IUC0
P03129,P49760
P03129,Q13895
P03126,Q9P2F8
P03129,Q08117
P03129,Q9P2H0
P03129,P25791
P03129,Q8TCE9
P03129,Q9BW85
P03129,Q86YD7
P03129,O95363
P03129,O15160
P03129,Q96I24
P03129,P24278
P03129,Q15561
P03129,P09132
P03129,P32969
P03129,Q04864
P03129,P54646
P03129,Q9Y237
P03129,Q8WXI9
P03129,Q9BWG6
P03129,Q86Y26
P03129,Q8N7W2
P03129,Q8TAU3
P03129,Q8N2X6
P03129,Q8N5A5
P03129,Q17RD7
P03129,Q9C086
P03129,Q8NBS9
P03129,Q9H9D4
P03129,Q53FD0
Q05086,P03126
P03129,Q7Z7L7
P03129,Q5T4S7
P03129,Q14188
P03129,Q14186
P03129,Q15370
P03129,Q15369
P03129,Q9UQ35
P03129,Q9Y6N5
P03129,Q08999
P03129,P28749
P03129,P06400
P03129,Q16825
P03129,Q15678
P03129,P35998
P03129,P12004
P03129,Q9P0J7
P03129,P23458
P03129,Q15329
P03129,Q16254
P03129,Q01094
P03129,P09543
P03129,P38936
P03129,Q00535
P03129,P11802
P03129,P24941
P03129,P24864
P03129,P30281
P03129,P20248
P03129,Q9NXH8
P03129,Q9NRY4
P03129,Q96CW1
P03129,O95782
P03129,Q2M2I8
P03246,Q9H2V7
P03246,P62834
P03246,P35813
P03246,Q9NZM1
P03246,O95297
P03246,P50281
P03246,O75695
